Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2008,Creighton,MVC,+10.80,108.7,97.9,65.5,+5.22,106.1,100.8
2008,Oklahoma St.,B12,+10.78,109.1,98.4,64.2,+9.94,108.6,98.6
2008,Akron,MAC,+10.48,110.9,100.4,62.8,+0.39,103.0,102.6
2008,Oral Roberts,Sum,+10.27,104.7,94.5,63.6,-0.01,105.4,105.4
2008,Kentucky,SEC,+10.01,107.8,97.8,62.4,+6.74,107.4,100.7
2008,Duquesne,A10,+9.97,108.9,99.0,73.4,+1.74,105.0,103.2
2008,George Mason,CAA,+9.68,110.7,101.0,61.6,-0.57,102.6,103.2
2008,Team,Conf,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD
2008,Miami OH,MAC,+9.63,108.4,98.7,58.0,+6.42,106.4,100.0
2008,Tulsa,CUSA,+9.63,106.2,96.6,64.6,+1.24,104.2,103.0
2008,Texas Tech,B12,+9.60,107.7,98.1,67.6,+9.40,108.5,99.1
2008,Charlotte,A10,+9.53,104.6,95.1,66.8,+5.77,107.1,101.4
2008,Providence,BE,+9.40,110.1,100.8,66.3,+9.20,109.1,99.9
2008,Alabama,SEC,+9.20,110.9,101.7,66.7,+5.70,107.2,101.5
2008,Bradley,MVC,+9.05,111.8,102.7,68.5,+5.32,105.6,100.3
2008,Cal St. Fullerton,BW,+8.47,112.3,103.9,71.6,-3.95,101.5,105.5
2008,Missouri St.,MVC,+8.39,108.2,99.8,65.1,+4.86,105.8,100.9
2008,Virginia,ACC,+8.11,110.5,102.4,68.4,+6.21,106.8,100.6
2008,Georgia,SEC,+8.08,104.3,96.2,64.7,+7.55,108.5,101.0
2008,San Diego St.,MWC,+7.99,104.9,96.9,64.1,+3.21,104.5,101.2
2008,Siena,MAAC,+7.99,108.6,100.7,67.6,-1.41,104.1,105.5
2008,Western Michigan,MAC,+7.92,108.1,100.2,63.8,+0.60,103.7,103.1
2008,Ohio,MAC,+7.55,109.7,102.1,63.2,+2.40,104.3,101.9
2008,Stephen F. Austin,Slnd,+7.53,107.6,100.1,57.6,-5.90,98.6,104.5
2008,UCF,CUSA,+7.11,109.1,102.0,64.1,+1.20,103.8,102.6
2008,Southern Miss,CUSA,+6.98,108.3,101.3,63.3,+3.04,105.1,102.1
2008,UNC Greensboro,SC,+6.96,108.1,101.2,64.6,+0.04,104.1,104.1
2008,New Mexico St.,WAC,+6.85,108.1,101.3,69.7,-2.20,103.5,105.7
2008,Nevada,WAC,+6.59,108.5,101.9,67.2,+0.09,104.8,104.7
2008,Cincinnati,BE,+6.58,104.8,98.2,63.5,+9.65,109.0,99.3
2008,Cleveland St.,Horz,+6.58,103.3,96.7,64.7,+3.23,105.5,102.3
2008,Winthrop,BSth,+6.38,99.5,93.1,61.6,-1.01,105.1,106.1
2008,Boston College,ACC,+6.37,108.9,102.6,64.2,+7.87,107.9,100.0
2008,South Carolina,SEC,+6.10,109.1,103.0,64.7,+6.41,108.0,101.6
2008,Seton Hall,BE,+6.00,110.5,104.5,69.2,+5.69,106.5,100.8
2008,UTEP,CUSA,+5.74,106.7,100.9,70.9,+1.46,103.6,102.2
2008,Utah St.,WAC,+5.70,114.6,108.9,62.9,-3.25,101.8,105.0
2008,North Carolina St.,ACC,+5.65,107.6,101.9,62.7,+9.18,108.6,99.4
2008,South Florida,BE,+5.41,107.4,102.0,63.4,+6.71,106.7,100.0
2008,Portland St.,BSky,+5.40,108.6,103.2,66.3,-3.50,102.7,106.2
2008,Illinois Chicago,Horz,+5.34,104.8,99.5,65.7,+2.20,104.0,101.8
2008,DePaul,BE,+5.28,111.8,106.6,65.7,+9.36,108.6,99.3
2008,LSU,SEC,+5.20,104.9,99.7,65.6,+6.41,106.9,100.4
2008,Wright St.,Horz,+5.04,104.0,98.9,59.7,+0.47,104.4,103.9
2008,UC Santa Barbara,BW,+4.93,102.3,97.3,65.2,-3.76,102.4,106.1
2008,Old Dominion,CAA,+4.90,106.5,101.6,63.0,+0.83,102.8,102.0
2008,Valparaiso,Horz,+4.70,107.9,103.2,65.7,+2.15,104.3,102.1
2008,San Diego,WCC,+4.64,101.6,97.0,63.0,+1.43,104.3,102.9
2008,Team,Conf,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD
2008,Northern Iowa,MVC,+4.62,105.9,101.3,59.2,+3.86,104.9,101.0
2008,Rider,MAAC,+4.62,108.2,103.6,68.7,-3.33,101.7,105.1
2008,Cornell,Ivy,+4.41,110.1,105.7,67.9,-6.93,99.1,106.0
2008,Iowa St.,B12,+4.38,101.7,97.4,64.1,+8.14,107.5,99.3
2008,Colorado,B12,+4.29,104.7,100.4,60.9,+8.94,107.5,98.6
2008,Boise St.,WAC,+3.89,108.7,104.8,70.7,-2.64,103.3,105.9
2008,UMBC,AE,+3.86,113.2,109.3,63.7,-4.31,100.7,105.0
2008,Georgia Southern,SC,+3.82,106.0,102.2,69.0,-0.34,104.1,104.4
2008,Belmont,ASun,+3.53,109.7,106.2,68.6,-5.21,100.9,106.1
2008,Penn St.,B10,+3.48,107.7,104.2,63.5,+6.66,106.2,99.6
2008,Cal St. Northridge,BW,+3.43,102.2,98.7,72.2,-3.53,102.5,106.0
2008,Indiana St.,MVC,+3.20,105.9,102.7,64.3,+6.27,106.9,100.6
