Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
2008,1,NE,24,2,Texas,74,15,Austin Peay,54,47,48,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3317307692307692,24.0,11.0,74.0,70.8,3.23,-5.24,1.36,-3.57,-2.21,-0.109375
2008,1,SE,25,1,UCLA,70,16,Mississippi Valley St.,29,49,50,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,17.0,16.0,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28,-0.03125
2008,1,SE,26,8,BYU,62,9,Texas A&M,67,51,52,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,-0.275390625,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,-0.048828125
2008,1,SE,27,5,Drake,99,12,Western Kentucky,101,53,54,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,-0.48828125,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.54375
2008,1,SE,28,4,Connecticut,69,13,San Diego,70,55,56,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,0.5171875,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,0.75
2008,1,SE,29,6,Purdue,90,11,Baylor,79,57,58,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.4207589285714285,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,-0.1692708333333333
2008,1,SE,30,3,Xavier,73,14,Georgia,61,59,60,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125,17.0,17.0,68.1,67.4,0.71,7.03,0.83,6.42,7.24,-0.4010416666666667
2008,1,SE,31,7,West Virginia,75,10,Arizona,65,61,62,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.080965909090909,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,-0.1744791666666666
2008,1,SE,32,2,Duke,71,15,Belmont,70,63,64,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,-0.0010416666666666,25.0,9.0,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12,-0.2265625
2008,2,NW,33,1,North Carolina,108,9,Arkansas,77,1,4,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.5479910714285714,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,0.5223214285714286
