Year,Team,BPI(O),BPI(D),Conf
2015,Liberty Flames,-7.0,-4.0,Big South
2015,Abilene Christian Wildcats,-6.1,-5.0,Southland
2015,UT Rio Grande Valley Vaqueros,-6.2,-5.0,WAC
2015,Binghamton Bearcats,-9.1,-2.2,Am. East
2015,Nicholls Colonels,-6.4,-5.0,Southland
2015,Morgan State Bears,-6.4,-5.3,MEAC
2015,Arkansas-Pine Bluff Golden Lions,-9.4,-2.4,SWAC
2015,UMBC Retrievers,-10.0,-2.0,Am. East
2015,Stetson Hatters,-4.0,-8.0,ASUN
2015,North Carolina A&T Aggies,-9.4,-2.6,MEAC
2015,Presbyterian Blue Hose,-8.1,-4.0,Big South
2015,South Carolina State Bulldogs,-8.5,-4.0,MEAC
2015,Tennessee State Tigers,-9.5,-3.0,OVC
2015,Alabama A&M Bulldogs,-7.8,-4.8,SWAC
2015,Kennesaw State Owls,-5.3,-7.4,ASUN
2015,Jacksonville Dolphins,-6.1,-6.7,ASUN
2015,Central Connecticut Blue Devils,-8.2,-4.8,NEC
2015,Maine Black Bears,-5.1,-8.0,Am. East
2015,Savannah State Tigers,-12.5,-1.3,MEAC
2015,San José State Spartans,-11.7,-3.5,Mountain West
2015,Alcorn State Braves,-5.6,-10.3,SWAC
2015,Central Arkansas Bears,-4.8,-12.4,Southland
2015,Mississippi Valley State Delta Devils,-3.9,-13.4,SWAC
2015,Florida A&M Rattlers,-11.5,-7.5,MEAC
2015,Grambling Tigers,-15.8,-7.8,SWAC
