Year,Team,Conf,BPI(O),BPI(D)
2020,Pittsburgh,ACC,0.7,3.5
2020,Hofstra,CAA,4.5,-0.3
2020,DePaul,Big East,-0.1,4.2
2020,Wake Forest,ACC,3.9,0.2
2020,Temple,American,-0.7,4.8
2020,UNLV,Mountain West,3.0,0.9
2020,Bradley,MVC,2.3,1.5
2020,Georgia,SEC,3.4,0.4
2020,North Dakota St.,Summit,3.6,0.1
2020,Ball St.,MAC,-1.5,5.1
2020,Eastern Washington,Big Sky,2.9,0.5
2020,Western Kentucky,C-USA,4.1,-0.7
2020,Stephen F. Austin,Southland,0.2,3.2
2020,Utah,Pac-12,2.8,0.5
2020,Colgate,Patriot,3.4,-0.1
2020,Colorado St.,Mountain West,3.7,-0.5
2020,UCF,American,0.6,2.5
2020,South Florida,American,-1.0,4.0
2020,Kent St.,MAC,2.7,0.3
2020,Georgia St.,Sun Belt,1.5,1.4
2020,St. Bonaventure,A 10,1.8,0.8
2020,Penn,Ivy,1.4,1.1
2020,Wright St.,Horizon,1.6,0.9
2020,Missouri St.,MVC,0.9,1.6
2020,Northeastern,CAA,3.3,-1.0
2020,Winthrop,Big South,2.5,-0.1
2020,Pacific,WCC,0.7,1.4
2020,Northern Kentucky,Horizon,0.1,1.9
2020,Texas A&M,SEC,-1.2,3.2
2020,Chattanooga,Southern,2.5,-0.5
2020,Southern Utah,Big Sky,-1.0,2.9
2020,Washington St.,Pac-12,-0.4,2.3
2020,Pepperdine,WCC,3.5,-1.7
2020,South Dakota St.,Summit,3.3,-1.4
2020,Toledo,MAC,2.6,-1.0
2020,Georgia Southern,Sun Belt,0.1,1.5
2020,Northwestern,Big Ten,0.8,0.7
2020,Wofford,Southern,3.3,-1.7
2020,Towson,CAA,2.1,-0.7
2020,Princeton,Ivy,2.6,-1.3
2020,New Mexico,Mountain West,1.9,-0.7
2020,Marshall,C-USA,-0.9,2.1
2020,UT Arlington,Sun Belt,-0.7,1.9
2020,Western Carolina,Southern,3.2,-2.0
2020,Oral Roberts,Summit,3.3,-2.2
2020,Indiana St.,MVC,1.4,-0.3
2020,St. Francis PA,NEC,3.7,-2.6
2020,North Florida,ASUN,6.0,-4.9
2020,Buffalo,MAC,1.2,-0.1
2020,Radford,Big South,2.6,-1.6
2020,Little Rock,Sun Belt,0.9,0.0
2020,Siena,MAAC,2.2,-1.3
2020,Ohio,MAC,0.9,-0.3
2020,Austin Peay,OVC,2.9,-2.3
2020,Boston University,Patriot,1.3,-0.7
2020,Charleston,CAA,1.5,-1.0
2020,Santa Clara,WCC,0.2,0.3
2020,UC Santa Barbara,Big West,3.1,-2.7
2020,Fresno St.,Mountain West,1.3,-0.9
2020,Stony Brook,Am. East,-2.3,2.6
2020,Portland St.,Big Sky,3.3,-3.0
2020,Vanderbilt,SEC,1.4,-1.0
2020,Abilene Christian,Southland,-1.8,2.1
2020,George Mason,A 10,-0.9,1.1
2020,Montana,Big Sky,-0.9,1.1
2020,Rider,MAAC,-0.7,0.8
2020,Sacramento St.,Big Sky,-3.8,3.9
2020,Boston College,ACC,-2.2,2.1
2020,Massachusetts,A 10,0.3,-0.5
2020,South Dakota,Summit,3.9,-4.0
2020,Nebraska,Big Ten,-0.3,0.1
2020,Delaware,CAA,2.4,-2.6
2020,Northern Illinois,MAC,-2.1,1.8
2020,Charlotte,C-USA,-2.3,1.9
2020,Valparaiso,MVC,0.5,-0.9
2020,Cal Baptist,WAC,3.0,-3.4
2020,California,Pac-12,-1.1,0.7
2020,Drake,MVC,-0.5,0.0
2020,South Alabama,Sun Belt,1.6,-2.2
2020,Old Dominion,C-USA,-3.2,2.7
2020,La Salle,A 10,-2.3,1.7
2020,Nicholls St.,Southland,-1.3,0.6
2020,Appalachian St.,Sun Belt,-1.8,1.1
2020,FIU,C-USA,0.1,-1.0
2020,Bowling Green,MAC,0.8,-1.8
2020,Coastal Carolina,Sun Belt,1.8,-2.8
2020,Sacred Heart,NEC,0.0,-1.0
2020,Tulane,American,-0.3,-0.7
2020,William & Mary,CAA,0.2,-1.3
2020,Dartmouth,Ivy,-2.4,1.2
2020,Southern Illinois,MVC,-3.3,2.0
2020,American,Patriot,-0.4,-0.9
2020,Central Michigan,MAC,1.2,-2.6
2020,Saint Peter's,MAAC,-4.6,3.2
2020,UAB,C-USA,-1.4,-0.1
2020,Eastern Illinois,OVC,-1.1,-0.5
2020,Air Force,Mountain West,3.6,-5.2
2020,Mercer,Southern,-0.8,-0.8
2020,Green Bay,Horizon,2.4,-4.2
2020,Northern Arizona,Big Sky,0.5,-2.4
2020,Robert Morris,NEC,-1.2,-0.6
2020,Monmouth,MAAC,-2.3,0.4
2020,Hawaii,Big West,-3.1,1.1
2020,UMKC,WAC,-2.2,0.2
2020,Lafayette,Patriot,-0.4,-1.7
2020,Eastern Michigan,MAC,-4.9,2.7
2020,Montana St.,Big Sky,-2.7,0.4
2020,UTEP,C-USA,-3.4,1.1
2020,Gardner Webb,Big South,-0.5,-1.8
2020,Prairie View A&M,SWAC,-2.7,0.4
2020,Sam Houston St.,Southland,-1.9,-0.5
2020,Miami OH,MAC,0.2,-2.7
2020,Brown,Ivy,-4.1,1.5
2020,Iona,MAAC,0.4,-2.9
2020,UC Riverside,Big West,-4.2,1.6
2020,Merrimack,NEC,-5.6,3.0
2020,Seattle,WAC,-0.2,-2.5
2020,Loyola Marymount,WCC,-1.2,-1.6
2020,East Carolina,American,-1.8,-1.1
2020,North Dakota,Summit,0.6,-3.5
2020,Florida Atlantic,C-USA,-2.5,-0.5
2020,New Hampshire,Am. East,-4.1,1.0
2020,UC Davis,Big West,1.1,-4.1
2020,Bryant,NEC,-2.4,-0.7
2020,VMI,Southern,-1.1,-2.2
2020,Rice,C-USA,0.7,-4.1
2020,UTSA,C-USA,0.3,-3.8
2020,Illinois Chicago,Horizon,-4.0,0.5
2020,Youngstown St.,Horizon,-0.3,-3.1
2020,San Diego,WCC,-4.6,0.7
2020,Nebraska Omaha,Summit,0.0,-3.9
2020,Illinois St.,MVC,-3.0,-0.9
2020,George Washington,A 10,-2.1,-1.8
2020,Bucknell,Patriot,-3.2,-0.8
2020,Lipscomb,ASUN,-0.6,-3.4
2020,Jacksonville St.,OVC,-3.0,-1.0
2020,Cal St. Northridge,Big West,2.8,-6.9
2020,UT Rio Grande Valley,WAC,-1.9,-2.1
2020,Fordham,A 10,-7.9,3.8
2020,Oakland,Horizon,-2.6,-1.6
2020,McNeese St.,Southland,1.7,-5.9
2020,Tennessee St.,OVC,-2.5,-1.7
2020,Cal St. Bakersfield,WAC,-2.8,-1.4
2020,Drexel,CAA,-1.7,-2.6
2020,Quinnipiac,MAAC,-0.5,-3.8
2020,Western Michigan,MAC,-1.7,-2.6
2020,Lamar,Southland,-4.4,0.0
2020,Arkansas St.,Sun Belt,0.0,-4.4
2020,Campbell,Big South,-2.9,-1.5
2020,Canisius,MAAC,-3.0,-1.5
2020,Louisiana,Sun Belt,-1.4,-3.1
2020,UMBC,Am. East,-2.6,-2.0
2020,Norfolk St.,MEAC,-4.9,0.3
2020,Weber St.,Big Sky,-0.8,-3.9
2020,Eastern Kentucky,OVC,-3.3,-1.4
2020,Navy,Patriot,-3.3,-1.5
2020,UMass Lowell,Am. East,1.0,-5.8
2020,Manhattan,MAAC,-6.4,1.5
2020,Jacksonville,ASUN,-4.2,-0.7
2020,Albany,Am. East,-4.1,-0.9
2020,LIU,NEC,-1.7,-3.3
2020,Loyola MD,Patriot,-1.3,-4.1
2020,Southern,SWAC,-3.3,-2.1
2020,Idaho St.,Big Sky,-0.4,-5.0
2020,Hartford,Am. East,-5.3,-0.1
2020,Cal St. Fullerton,Big West,-4.2,-1.3
2020,Army,Patriot,-2.6,-3.0
2020,Grand Canyon,WAC,0.3,-5.9
2020,Saint Joseph's,A 10,-1.0,-4.6
2020,Fairleigh Dickinson,NEC,0.4,-6.0
2020,Texas Southern,SWAC,-2.7,-2.9
2020,North Carolina Central,MEAC,-5.1,-0.7
2020,Milwaukee,Horizon,-3.6,-2.3
2020,Utah Valley,WAC,-4.2,-1.7
2020,Cornell,Ivy,-1.3,-4.8
2020,North Alabama,ASUN,-4.4,-1.7
2020,Bethune Cookman,MEAC,-5.0,-1.2
2020,Morehead St.,OVC,-3.9,-2.4
2020,Purdue Fort Wayne,Summit,-4.5,-1.7
2020,Jackson St.,SWAC,-6.2,-0.1
2020,North Carolina A&T,MEAC,-5.9,-0.5
2020,St. Francis NY,NEC,-4.4,-2.0
2020,Elon,CAA,-1.6,-4.8
2020,NJIT,ASUN,-4.7,-1.7
2020,Wyoming,Mountain West,-6.2,-0.2
2020,Middle Tennessee,C-USA,-2.7,-3.8
2020,Columbia,Ivy,-4.2,-2.3
2020,Louisiana Monroe,Sun Belt,-4.5,-2.1
2020,UNC Asheville,Big South,-1.3,-5.3
2020,Mount St. Mary's,NEC,-4.0,-2.6
2020,Portland,WCC,-5.6,-1.4
2020,James Madison,CAA,-2.2,-4.8
2020,Grambling St.,SWAC,-4.9,-2.1
2020,Central Arkansas,Southland,-3.6,-3.5
2020,Fairfield,MAAC,-7.8,0.6
2020,Stetson,ASUN,-3.5,-3.7
2020,Lehigh,Patriot,-3.8,-3.6
2020,Hampton,Big South,0.7,-8.1
2020,Detroit Mercy,Horizon,-1.5,-6.0
2020,UNC Wilmington,CAA,-4.9,-2.7
2020,Southern Miss,C-USA,-4.8,-3.0
2020,Northwestern St.,Southland,-4.5,-3.3
2020,Charleston Southern,Big South,-3.9,-4.0
2020,Niagara,MAAC,-1.9,-6.0
2020,Troy,Sun Belt,-5.0,-2.9
2020,Long Beach St.,Big West,-5.3,-2.6
2020,Alcorn St.,SWAC,-2.4,-5.6
2020,Evansville,MVC,-3.9,-4.2
2020,Texas A&M Corpus Chris,Southland,-5.8,-2.5
2020,New Orleans,Southland,-1.7,-6.7
2020,Samford,Southern,-2.7,-5.6
2020,Cal Poly,Big West,-4.6,-3.8
2020,Longwood,Big South,-6.7,-1.8
2020,The Citadel,Southern,-3.1,-5.5
2020,Florida A&M,MEAC,-6.4,-2.3
2020,Florida Gulf Coast,ASUN,-7.7,-1.2
2020,Marist,MAAC,-7.7,-1.2
2020,Morgan St.,MEAC,-6.7,-2.3
2020,Denver,Summit,-5.0,-4.0
2020,Maine,Am. East,-6.9,-2.2
2020,San Jose St.,Mountain West,-5.0,-4.4
2020,Cleveland St.,Horizon,-6.9,-2.5
2020,Tennessee Martin,OVC,2.5,-12.0
2020,Idaho,Big Sky,-5.3,-4.4
2020,Coppin St.,MEAC,-8.1,-1.8
2020,Tennessee Tech,OVC,-6.1,-3.9
2020,Wagner,NEC,-2.9,-7.2
2020,SIU Edwardsville,OVC,-6.9,-3.4
2020,USC Upstate,Big South,-4.6,-5.8
2020,Western Illinois,Summit,-2.5,-7.9
2020,Presbyterian,Big South,-3.6,-7.1
2020,Binghamton,Am. East,-2.9,-8.1
2020,Alabama St.,SWAC,-9.3,-2.5
2020,Southeast Missouri St.,OVC,-5.4,-6.3
2020,Houston Christian,Southland,0.2,-12.0
2020,IUPUI,Horizon,-3.7,-8.2
2020,South Carolina St.,MEAC,-3.8,-8.1
2020,High Point,Big South,-4.8,-7.7
2020,Southeastern Louisiana,Southland,-7.8,-5.5
2020,Alabama A&M,SWAC,-9.9,-3.7
2020,Incarnate Word,Southland,-7.6,-6.5
2020,Holy Cross,Patriot,-4.9,-9.3
2020,Central Connecticut,NEC,-8.4,-7.0
2020,Delaware St.,MEAC,-6.6,-9.2
2020,Howard,MEAC,-5.6,-10.4
2020,Arkansas Pine Bluff,SWAC,-14.1,-2.4
2020,Maryland Eastern Shore,MEAC,-13.2,-3.4
2020,Kennesaw St.,ASUN,-12.9,-5.8
2020,Mississippi Valley St.,SWAC,-9.5,-10.1
2020,Chicago St.,WAC,-10.2,-13.1
2021,Gonzaga,WCC,15.0,6.3
2021,Baylor,Big 12,13.9,6.8
2021,Houston,American,9.9,8.4
2021,Illinois,Big Ten,9.7,8.0
2021,Michigan,Big Ten,9.7,7.7
2021,Iowa,Big Ten,14.3,2.7
2021,Villanova,Big East,10.9,4.2
2021,Texas Tech,Big 12,6.5,7.9
2021,Alabama,SEC,5.8,8.6
2021,USC,Pac-12,7.0,7.3
2021,Ohio St.,Big Ten,10.6,3.6
2021,Virginia,ACC,8.0,5.8
2021,Arkansas,SEC,6.4,7.1
2021,Tennessee,SEC,5.0,8.3
2021,Loyola Chicago,MVC,5.6,7.7
2021,Wisconsin,Big Ten,6.0,7.2
2021,Creighton,Big East,8.0,5.0
2021,Colorado,Pac-12,7.4,5.7
2021,Florida St.,ACC,7.0,5.7
2021,LSU,SEC,11.2,1.4
2021,Connecticut,Big East,6.4,6.1
2021,Texas,Big 12,6.7,5.7
2021,San Diego St.,Mountain West,5.3,6.9
2021,West Virginia,Big 12,8.1,3.9
2021,Kansas,Big 12,5.3,6.7
2021,North Carolina,ACC,5.1,6.6
2021,Purdue,Big Ten,6.2,5.4
2021,UCLA,Pac-12,8.1,3.3
2021,St. Bonaventure,A 10,5.2,6.2
2021,Oregon,Pac-12,8.2,3.0
2021,Duke,ACC,7.7,3.4
2021,BYU,WCC,6.6,4.5
2021,Oklahoma,Big 12,6.4,4.6
2021,Syracuse,ACC,6.8,4.2
2021,Memphis,American,1.6,9.2
2021,Florida,SEC,5.8,4.5
2021,Oklahoma St.,Big 12,3.9,6.3
2021,Georgia Tech,ACC,6.4,3.5
2021,Maryland,Big Ten,6.0,3.8
2021,Arizona,Pac-12,6.3,3.4
2021,Rutgers,Big Ten,3.2,6.4
2021,Virginia Tech,ACC,5.1,4.5
2021,Clemson,ACC,2.3,7.3
2021,Saint Louis,A 10,5.2,4.3
2021,Penn St.,Big Ten,5.4,4.0
2021,Mississippi,SEC,1.9,7.3
2021,North Carolina St.,ACC,5.5,3.5
2021,Missouri,SEC,4.8,4.2
2021,Indiana,Big Ten,4.0,4.8
2021,Seton Hall,Big East,4.7,4.1
2021,SMU,American,5.2,3.5
2021,Colgate,Patriot,6.9,1.6
2021,Davidson,A 10,7.9,0.6
2021,Kentucky,SEC,3.2,5.3
2021,Utah St.,Mountain West,1.7,6.7
2021,Richmond,A 10,6.0,2.3
2021,Boise St.,Mountain West,4.2,4.1
2021,Xavier,Big East,4.7,3.6
2021,VCU,A 10,0.8,7.4
2021,UC Santa Barbara,Big West,5.2,2.9
2021,Louisville,ACC,3.9,4.0
2021,Mississippi St.,SEC,3.7,4.1
2021,Oregon St.,Pac-12,5.3,2.3
2021,St. John's,Big East,5.2,2.3
2021,Wright St.,Horizon,3.5,4.0
2021,Drake,MVC,5.7,1.6
2021,Auburn,SEC,4.8,2.4
2021,Providence,Big East,3.7,3.4
2021,North Texas,C-USA,3.6,3.5
2021,Michigan St.,Big Ten,3.1,4.0
2021,Georgetown,Big East,3.1,4.0
2021,Utah,Pac-12,4.9,2.0
2021,Louisiana Tech,C-USA,1.7,4.9
2021,Toledo,MAC,6.5,0.1
2021,Minnesota,Big Ten,2.6,3.9
2021,Liberty,ASUN,4.7,1.7
2021,Grand Canyon,WAC,3.6,2.8
2021,Northwestern,Big Ten,2.0,4.2
2021,Marquette,Big East,3.2,3.1
2021,Stanford,Pac-12,1.2,5.0
2021,Notre Dame,ACC,7.1,-1.1
2021,UAB,C-USA,0.9,5.1
2021,Colorado St.,Mountain West,4.0,1.9
2021,Marshall,C-USA,4.3,1.6
2021,Winthrop,Big South,2.5,3.3
2021,Abilene Christian,Southland,-0.7,6.5
2021,Dayton,A 10,3.6,2.1
2021,Pittsburgh,ACC,3.3,2.2
2021,UNC Greensboro,Southern,1.1,4.3
2021,Belmont,OVC,4.8,0.5
2021,Saint Mary's,WCC,0.1,5.1
2021,Western Kentucky,C-USA,3.0,2.2
2021,Buffalo,MAC,2.6,2.6
2021,Ohio,MAC,4.9,0.2
2021,Rhode Island,A 10,1.1,4.0
2021,Furman,Southern,4.4,0.6
2021,Vermont,Am. East,3.0,2.0
2021,Wichita St.,American,1.7,3.3
2021,UC Irvine,Big West,-0.3,5.0
2021,Loyola Marymount,WCC,2.6,1.9
2021,Pepperdine,WCC,3.3,1.2
2021,Vanderbilt,SEC,3.7,0.7
2021,South Dakota St.,Summit,5.8,-1.6
2021,Georgia,SEC,2.5,1.6
2021,Eastern Washington,Big Sky,4.1,0.0
2021,Arizona St.,Pac-12,3.1,0.8
2021,UC Riverside,Big West,0.7,3.2
2021,Duquesne,A 10,0.2,3.4
2021,Nevada,Mountain West,2.5,1.2
2021,Wofford,Southern,3.2,0.4
2021,Washington St.,Pac-12,-1.5,5.0
2021,San Francisco,WCC,1.1,2.5
2021,Massachusetts,A 10,2.2,1.2
2021,Georgia St.,Sun Belt,3.6,-0.2
2021,UCF,American,1.7,1.7
2021,Weber St.,Big Sky,3.6,-0.3
2021,Nebraska,Big Ten,-0.5,3.8
2021,South Carolina,SEC,0.9,2.2
2021,Missouri St.,MVC,1.9,1.1
2021,Tulsa,American,0.4,2.5
2021,Butler,Big East,0.4,2.5
2021,Southern Utah,Big Sky,3.1,-0.5
2021,Murray St.,OVC,2.2,0.4
2021,Akron,MAC,3.2,-0.6
2021,Kent St.,MAC,1.6,0.9
2021,Cincinnati,American,0.2,2.3
2021,Coastal Carolina,Sun Belt,1.2,0.7
2021,Cal St. Bakersfield,Big West,0.5,1.4
2021,Texas A&M,SEC,-0.2,2.0
2021,UMBC,Am. East,-0.1,1.8
2021,Miami FL,ACC,0.3,1.4
2021,New Mexico St.,WAC,1.7,0.0
2021,TCU,Big 12,1.0,0.7
2021,Mercer,Southern,2.0,-0.5
2021,Temple,American,-0.2,1.7
2021,Iona,MAAC,0.3,1.1
2021,Oral Roberts,Summit,3.4,-1.9
2021,DePaul,Big East,-2.4,3.8
2021,Bowling Green,MAC,2.0,-0.7
2021,California,Pac-12,0.6,0.7
2021,UNLV,Mountain West,2.0,-0.7
2021,Siena,MAAC,0.3,0.9
2021,Bradley,MVC,0.6,0.6
2021,Stephen F. Austin,Southland,0.9,0.2
2021,East Tennessee St.,Southern,-0.4,1.4
2021,Florida Atlantic,C-USA,1.2,-0.2
2021,Eastern Kentucky,OVC,-0.4,1.3
2021,Drexel,CAA,2.4,-1.5
2021,Navy,Patriot,0.5,0.4
2021,Sam Houston St.,Southland,0.4,0.5
2021,James Madison,CAA,1.2,-0.3
2021,George Mason,A 10,-0.9,1.5
2021,Boston College,ACC,1.5,-0.9
2021,Santa Clara,WCC,-1.2,1.6
2021,Bryant,NEC,1.2,-0.8
2021,Pacific,WCC,-0.6,1.0
2021,Morehead St.,OVC,-1.7,2.1
2021,Bellarmine,ASUN,3.3,-3.1
2021,North Dakota St.,Summit,0.6,-0.5
2021,Old Dominion,C-USA,-0.6,0.7
2021,Indiana St.,MVC,-1.0,1.1
2021,Jacksonville St.,OVC,0.8,-0.8
2021,Chattanooga,Southern,0.4,-0.4
2021,Detroit Mercy,Horizon,4.1,-4.2
2021,Nicholls St.,Southland,-0.4,0.2
2021,Iowa St.,Big 12,-0.8,0.6
2021,UTEP,C-USA,-0.4,0.1
2021,UMKC,Summit,-1.8,1.5
2021,Wake Forest,ACC,-0.2,-0.2
2021,Ball St.,MAC,0.1,-0.5
2021,Washington,Pac-12,-0.3,-0.1
2021,Hofstra,CAA,2.3,-2.7
2021,Tulane,American,-2.5,2.0
2021,Northeastern,CAA,-2.2,1.7
2021,Hartford,Am. East,-2.9,2.5
2021,East Carolina,American,-2.4,1.8
2021,UTSA,C-USA,2.3,-2.9
2021,South Dakota,Summit,1.9,-2.5
2021,Appalachian St.,Sun Belt,-1.5,0.9
2021,Albany,Am. East,-0.8,0.1
2021,Army,Patriot,-1.8,1.0
2021,Gardner Webb,Big South,0.8,-1.7
2021,VMI,Southern,2.3,-3.3
2021,South Florida,American,-0.9,-0.1
2021,Monmouth,MAAC,-1.1,0.0
2021,Northern Iowa,MVC,0.2,-1.4
2021,Texas St.,Sun Belt,-2.1,0.7
2021,Tarleton St.,WAC,-2.0,0.5
2021,Loyola MD,Patriot,-2.0,0.4
2021,Kansas St.,Big 12,-2.7,1.0
2021,Saint Peter's,MAAC,-6.1,4.4
2021,Texas Southern,SWAC,-1.6,-0.1
2021,Canisius,MAAC,-0.7,-1.0
2021,Cleveland St.,Horizon,-2.0,0.2
2021,Elon,CAA,-2.8,1.0
2021,Miami OH,MAC,1.9,-3.8
2021,Montana,Big Sky,-2.0,0.1
2021,UMass Lowell,Am. East,-0.3,-1.7
2021,Hawaii,Big West,-1.8,-0.3
2021,Austin Peay,OVC,2.0,-4.0
2021,Stony Brook,Am. East,-4.4,2.3
2021,Mount St. Mary's,NEC,-3.6,1.3
2021,South Alabama,Sun Belt,1.2,-3.5
2021,Prairie View A&M,SWAC,-3.1,0.8
2021,Wagner,NEC,-0.4,-2.0
2021,Campbell,Big South,0.8,-3.2
2021,Fresno St.,Mountain West,-2.1,-0.4
2021,Niagara,MAAC,-0.9,-1.7
2021,UT Arlington,Sun Belt,-2.3,-0.6
2021,UC Davis,Big West,-2.2,-0.6
2021,Cal Baptist,WAC,2.4,-5.3
2021,The Citadel,Southern,1.1,-4.2
2021,Charleston,CAA,0.7,-3.8
2021,Norfolk St.,MEAC,-3.0,-0.1
2021,UNC Wilmington,CAA,1.3,-4.4
2021,La Salle,A 10,-1.8,-1.5
2021,Sacramento St.,Big Sky,0.8,-4.0
2021,Montana St.,Big Sky,-1.2,-2.1
2021,Morgan St.,MEAC,-1.7,-1.6
2021,New Hampshire,Am. East,-2.8,-0.6
2021,UNC Asheville,Big South,-1.2,-2.2
2021,Rice,C-USA,-0.4,-3.0
2021,Little Rock,Sun Belt,-1.6,-1.8
2021,Boston University,Patriot,-0.3,-3.1
2021,Northern Kentucky,Horizon,0.4,-3.9
2021,San Diego,WCC,-3.5,0.1
2021,Seattle,WAC,-2.3,-1.2
2021,Louisiana,Sun Belt,-1.8,-1.8
2021,Lafayette,Patriot,1.7,-5.3
2021,Milwaukee,Horizon,-0.5,-3.1
2021,Georgia Southern,Sun Belt,-3.3,-0.4
2021,Bucknell,Patriot,-1.2,-2.5
2021,Marist,MAAC,-5.7,2.0
2021,George Washington,A 10,-0.6,-3.2
2021,Idaho St.,Big Sky,-3.8,0.0
2021,Charlotte,C-USA,-3.1,-0.8
2021,Wyoming,Mountain West,1.7,-5.7
2021,Lipscomb,ASUN,-1.2,-2.8
2021,Southern Illinois,MVC,-2.3,-1.7
2021,Stetson,ASUN,-0.7,-3.4
2021,Western Carolina,Southern,-0.4,-3.7
2021,Valparaiso,MVC,-4.9,0.7
2021,Radford,Big South,-3.1,-1.2
2021,NJIT,Am. East,-2.8,-1.5
2021,LIU,NEC,-3.8,-0.5
2021,Jackson St.,SWAC,-7.2,2.9
2021,Arkansas St.,Sun Belt,-1.0,-3.4
2021,American,Patriot,-1.9,-2.5
2021,Saint Joseph's,A 10,-0.9,-3.5
2021,Utah Valley,WAC,-1.4,-3.1
2021,Merrimack,NEC,-6.0,1.4
2021,Delaware,CAA,-3.2,-1.4
2021,North Alabama,ASUN,-3.4,-1.2
2021,Illinois St.,MVC,-2.6,-2.1
2021,Portland St.,Big Sky,-5.5,0.5
2021,Quinnipiac,MAAC,-5.4,0.4
2021,Northern Colorado,Big Sky,-2.4,-2.5
2021,Florida Gulf Coast,ASUN,-5.3,0.2
2021,Cal St. Fullerton,Big West,-0.3,-4.8
2021,Evansville,MVC,1.0,-6.2
2021,Fairleigh Dickinson,NEC,0.3,-5.5
2021,Southern Miss,C-USA,-5.8,0.6
2021,Long Beach St.,Big West,-2.9,-2.4
2021,Youngstown St.,Horizon,-0.8,-4.4
2021,UT Rio Grande Valley,WAC,-5.7,0.3
2021,St. Francis NY,NEC,-0.3,-5.2
2021,Samford,Southern,-2.2,-3.3
2021,Oakland,Horizon,0.2,-5.8
2021,New Orleans,Southland,-3.0,-2.6
2021,Longwood,Big South,-3.8,-1.9
2021,McNeese St.,Southland,-0.7,-5.0
2021,Southern,SWAC,-5.4,-0.4
2021,Manhattan,MAAC,-6.9,1.0
2021,North Carolina A&T,MEAC,-5.1,-0.8
2021,St. Francis PA,NEC,-3.7,-2.4
2021,Towson,CAA,-1.7,-4.6
2021,Eastern Illinois,OVC,-3.4,-3.0
2021,Troy,Sun Belt,-6.4,0.1
2021,Fairfield,MAAC,-4.5,-2.1
2021,Cal St. Northridge,Big West,-0.6,-6.0
2021,High Point,Big South,-3.7,-2.9
2021,Purdue Fort Wayne,Horizon,-1.3,-5.5
2021,IUPUI,Horizon,-4.0,-2.8
2021,Southeast Missouri St.,OVC,-4.5,-2.3
2021,Florida A&M,MEAC,-7.1,0.2
2021,UC San Diego,Big West,-2.7,-4.2
2021,Rider,MAAC,-1.6,-5.3
2021,Green Bay,Horizon,-1.1,-6.0
2021,Holy Cross,Patriot,-2.8,-4.3
2021,Sacred Heart,NEC,-1.7,-5.5
2021,Jacksonville,ASUN,-5.5,-1.8
2021,Lamar,Southland,-5.4,-1.9
2021,Middle Tennessee,C-USA,-6.4,-0.9
2021,Central Michigan,MAC,-2.0,-5.4
2021,Illinois Chicago,Horizon,-5.4,-2.0
2021,Louisiana Monroe,Sun Belt,-5.4,-2.0
2021,Northwestern St.,Southland,-3.1,-4.4
2021,Coppin St.,MEAC,-6.8,-0.7
2021,FIU,C-USA,-3.0,-4.6
2021,Binghamton,Am. East,-2.4,-5.2
2021,Grambling St.,SWAC,-6.0,-1.7
2021,North Dakota,Summit,-3.4,-4.4
2021,Robert Morris,Horizon,-3.1,-4.8
2021,Central Arkansas,Southland,-3.2,-4.7
2021,Western Michigan,MAC,-6.0,-1.9
2021,North Florida,ASUN,-1.2,-6.7
2021,Eastern Michigan,MAC,-4.7,-3.7
2021,New Mexico,Mountain West,-6.4,-2.2
2021,William & Mary,CAA,-4.8,-3.8
2021,Nebraska Omaha,Summit,-4.9,-3.8
2021,Maine,Am. East,-8.6,0.0
2021,Western Illinois,Summit,-4.4,-4.3
2021,Tennessee St.,OVC,-7.4,-1.7
2021,North Carolina Central,MEAC,-4.9,-4.4
2021,Tennessee Tech,OVC,-4.8,-4.6
2021,Hampton,Big South,-4.8,-4.6
2021,Presbyterian,Big South,-6.9,-2.8
2021,Lehigh,Patriot,-5.3,-4.4
2021,Southeastern Louisiana,Southland,-5.7,-4.3
2021,Fordham,A 10,-10.1,0.1
2021,SIU Edwardsville,OVC,-6.6,-3.4
2021,Northern Arizona,Big Sky,-3.0,-7.1
2021,Kennesaw St.,ASUN,-8.2,-2.0
2021,Utah Tech,WAC,-7.2,-2.9
2021,Cal Poly,Big West,-8.1,-2.1
2021,Central Connecticut,NEC,-5.2,-5.1
2021,Houston Christian,Southland,-4.8,-5.6
2021,Alcorn St.,SWAC,-5.6,-4.9
2021,Charleston Southern,Big South,-6.7,-3.8
2021,USC Upstate,Big South,-4.8,-5.7
2021,Howard,MEAC,-3.3,-7.4
2021,Alabama A&M,SWAC,-9.9,-0.9
2021,Incarnate Word,Southland,-4.9,-6.0
2021,Texas A&M Corpus Chris,Southland,-8.4,-2.9
2021,Northern Illinois,MAC,-7.0,-5.3
2021,Portland,WCC,-5.2,-8.1
2021,Denver,Summit,-5.9,-7.6
2021,Tennessee Martin,OVC,-5.4,-8.2
2021,San Jose St.,Mountain West,-6.5,-7.1
2021,Air Force,Mountain West,-5.7,-8.3
2021,Alabama St.,SWAC,-10.2,-4.3
2021,Arkansas Pine Bluff,SWAC,-8.0,-6.7
2021,Idaho,Big Sky,-7.8,-6.9
2021,Delaware St.,MEAC,-7.9,-8.3
2021,South Carolina St.,MEAC,-10.7,-6.2
2021,Chicago St.,WAC,-10.5,-10.5
2021,Mississippi Valley St.,SWAC,-13.7,-12.4
2022,Gonzaga,WCC,12.8,7.7
2022,Houston,American,10.1,9.7
