Team,PASE
Abilene Christian,0.3515625
Akron,-0.2625
Alabama,-0.5677083333333334
Alabama St.,
Albany,0.2239583333333333
American,-0.1614583333333333
Appalachian St.,
Arizona,-0.1744791666666666
Arizona St.,0.03515625
Arkansas,0.5223214285714286
Arkansas Pine Bluff,0.96875
Auburn,0.0625
Austin Peay,-0.109375
BYU,-0.275390625
Baylor,-0.1692708333333333
Belmont,-0.2265625
Binghamton,-0.1875
Boise St.,-0.234375
Boston College,-0.890625
Boston University,-0.03125
Bradley,-0.1875
Bucknell,-0.3203125
Buffalo,0.109375
Butler,1.0746527777777777
Cal Poly,0.96875
Cal St. Bakersfield,-0.1875
Cal St. Fullerton,-0.1614583333333333
Cal St. Northridge,-0.1875
California,-0.40625
Charleston,-0.3385416666666667
Chattanooga,-0.265625
Cincinnati,-0.2170138888888889
Clemson,-0.4330357142857143
Cleveland St.,0.28125
Coastal Carolina,-0.03125
Colgate,-0.140625
Colorado,-0.38125
Colorado St.,-0.4114583333333333
Connecticut,0.5171875
Coppin St.,
Cornell,0.421875
Creighton,-0.0052083333333333
Davidson,0.0807291666666666
Dayton,0.1484375
Delaware,-0.21875
Detroit Mercy,-0.1875
Drake,-0.48828125
Drexel,-0.03125
Duke,-0.0010416666666666
Duquesne,-0.8125
East Tennessee St.,-0.1041666666666666
Eastern Kentucky,-0.1875
Eastern Washington,-0.1796875
Fairleigh Dickinson,1.46875
Florida,0.6234375
Florida Atlantic,1.328125
Florida Gulf Coast,0.890625
Florida St.,0.1953125
Fresno St.,-0.109375
Furman,0.75
Gardner Webb,-0.03125
George Mason,-0.125
George Washington,-0.609375
Georgetown,-1.0535714285714286
Georgia,-0.4010416666666667
Georgia St.,0.140625
Georgia Tech,-0.078125
Gonzaga,0.26953125
Grambling St.,
Grand Canyon,-0.2708333333333333
Green Bay,-0.109375
Hampton,0.3020833333333333
Hartford,-0.03125
Harvard,0.15234375
Hawaii,0.75
Holy Cross,0.96875
Houston,0.0245535714285714
Howard,0.46875
Illinois,-0.78125
Indiana,-0.1183035714285714
Indiana St.,-0.109375
Iona,-0.171875
Iowa,-0.3619791666666667
Iowa St.,-0.26875
Jacksonville St.,-0.1875
James Madison,0.2265625
Kansas,-0.0966796875
Kansas St.,0.153125
Kennesaw St.,-0.109375
Kent St.,-0.3229166666666667
Kentucky,0.6045673076923077
LIU,-0.109375
LSU,-0.115625
La Salle,2.75
Lamar,
Lehigh,0.390625
Liberty,0.1171875
Lipscomb,-0.1875
Little Rock,0.484375
Long Beach St.,-0.3515625
Longwood,-0.0703125
Louisiana,-0.1302083333333333
Louisville,0.375
Loyola Chicago,1.3020833333333333
Loyola MD,-0.1875
Manhattan,-0.25
Marquette,-0.2542613636363636
Marshall,0.75
Maryland,0.09375
Massachusetts,-0.6875
McNeese St.,-0.515625
Memphis,0.12109375
Mercer,0.890625
Miami FL,0.6026785714285714
Michigan,0.8522727272727273
Michigan St.,0.68125
